"id","name","region","nearest_town","latitude","longitude","length_km","difficulty","route_type","description_existing","enriched_description_bg","short_summary_bg","key_highlights","terrain_and_difficulty","suitable_for","best_season","cautions","nearby_points_of_interest","sources_urls","confidence","reviewer_notes"
"2","Екопътека ""Етър-Соколски манастир""","","Етър",,,"не е посочена","умерена","линеен","Трасето на пътеката минава през гориста местност и свързва двата популярни туристически обекта.","","","","","","","","","","",""
"7","Местност за пикник Орешак","Балчик","Орешак",,,"не е посочена","лека","отдих","Място за пикник и отмора с изградени маси, пейки и огнище. В близост се намира чешма Кюмюр.","","","","","","","","","","",""
"10","E4 Етап 10: Вихрен - Банско","Благоевград","Благоевград",,,"12","умерена","европейски маршрут","Спускане към град Банско със модерни удобства","","","","","","","","","","",""
"11","E4 Етап 11: Банско - Славянка планина","Благоевград","Благоевград",,,"28","трудна","европейски маршрут","Преминаване към изоставената красива планина на юг","","","","","","","","","","",""
"12","E4 Етап 12: Славянка връх - Мелник","Благоевград","Благоевград",,,"16","умерена","европейски маршрут","Спускане към Мелник, край на E4 в България","","","","","","","","","","",""
"13","E4 Етап 8: Мусала - Пирин национален парк","Благоевград","Благоевград",,,"25","трудна","европейски маршрут","Преминаване към заснежените върхове на Пирин","","","","","","","","","","",""
"14","E4 Етап 9: Пирин - връх Вихрен","Благоевград","Благоевград",,,"14","трудна","европейски маршрут","Восход към вторият най-висок връх в България","","","","","","","","","","",""
"15","Долина на река Благоевградска Бистрица","Благоевград","",,,"","умерена","кръгов","Екопътека във България, регион Благоевград. Долина на река Благоевградска Бистрица.","","","","","","","","","","",""
"16","Екопътека ""Белица - Кръстова гора""","Благоевград","Белица",,,"не е посочена","умерена","линеен","Екопътека до гора Кръстова.","","","","","","","","","","",""
"25","E3 Етап 10: Шипка - Емине връх","Большое Търново","Большое Търново",,,"18","трудна","европейски маршрут","Финален етап към връх Емине, край на E3","","","","","","","","","","",""
"29","Екопътека ""Пътят на ясния месец""","Бургас","Бръшлян",,,"11","лека до средна","линеен","Започва от с. Бръшлян, минава през природен парк ""Странджа"", свързва с. Бръшлян и Стоилово. Минава през параклис ""Св. Пантелеймон"".","","","","","","","","","","",""
"31","Red Dot Trail - Витоша","България","",,,"15 км","средна","маршрут","Класически маршрут на Витоша с червени маркировки","","","","","","","","","","",""
"32","Боров камък - Враца","България","",,,"12 км","средна","маршрут","Маршрут до водопада Боров камък","","","","","","","","","","",""
"33","Триградско ждрело - Смолян","България","",,,"8 км","лека","маршрут","Разходка през каньона на Триградска река","","","","","","","","","","",""
"62","Врацата","Враца","",,,"","умерена","кръгов","Екопътека във България, регион Враца. Врацата.","","","","","","","","","","",""
"74","Познавателен маршрут „Карст и биологично разнообразие”","Врачански Балкан","Враца",,,"не е посочена","лесен","кръгов","Кръгов маршрут от пещера Леденика, с информация за карстови форми, флора и фауна, места за отдих и обзорна кула с изглед към Дунавската равнина.","","","","","","","","","","",""
"75","Познавателен маршрут „Планинарство за начинаещи”","Врачански Балкан","Враца",,,"не е посочена","лесен","линеен","Маршрутът започва от м. Леденика, минава през букова гора, открити пасища, скални венци и пещера Песопин камък, с чешма и кът за отдих.","","","","","","","","","","",""
"78","E3 Етап 4: Витиня - Кардиново","Габрово","Габрово",,,"25","трудна","европейски маршрут","Преминаване към источната част на Стара Планина","","","","","","","","","","",""
"79","E3 Етап 5: Кардиново - Тетевен","Габрово","Габрово",,,"16","умерена","европейски маршрут","Спускане към град Тетевен с красивите пещери","","","","","","","","","","",""
"80","E3 Етап 6: Тетевен - Чулово","Габрово","Габрово",,,"14","умерена","европейски маршрут","Маршрут през северните склонове","","","","","","","","","","",""
"81","E3 Етап 7: Чулово - Боян","Габрово","Габрово",,,"19","трудна","европейски маршрут","Възход към хребета със красива панорама","","","","","","","","","","",""
"82","E3 Етап 8: Боян - Розова долина","Габрово","Габрово",,,"21","трудна","европейски маршрут","Преминаване през розовите плантации към Казанлък","","","","","","","","","","",""
"83","E3 Етап 9: Розова долина - Шипка","Габрово","Габрово",,,"12","умерена","европейски маршрут","Исторически маршрут към Шипка с военни паметници","","","","","","","","","","",""
"84","E8 Этап 8: Костенец - Чепино","Габрово","Габрово",,,"22","умерена","европейски маршрут","Преминаване към Централните Родопи","","","","","","","","","","",""
"93","Тетевенска баба","Габрово","",,,"","умерена","кръгов","Екопътека във България, регион Габрово. Тетевенска баба.","","","","","","","","","","",""
"113","E4 Етап 3: Перелик - Рила манастир","Кюстендил","Кюстендил",,,"24","трудна","европейски маршрут","Спускане към Рила със светилища и манастири","","","","","","","","","","",""
"114","E4 Етап 4: Рила манастир - Седемте Рилски езера","Кюстендил","Кюстендил",,,"18","трудна","европейски маршрут","Възход към легендарните седемте планински езера","","","","","","","","","","",""
"115","E4 Етап 5: Озеро - връх Маричини езера","Кюстендил","Кюстендил",,,"22","трудна","европейски маршрут","Преминаване през най-красивите части на Рила","","","","","","","","","","",""
"116","E8 Етап 1: Рила манастир - Врелото","Кюстендил","Кюстендил",,,"14","умерена","европейски маршрут","Начало на E8 от Рила събора към минерални извори","","","","","","","","","","",""
"117","E8 Етап 2: Врелото - Рилска пустиня","Кюстендил","Кюстендил",,,"18","трудна","европейски маршрут","Суров маршрут през пустинната част на Рила","","","","","","","","","","",""
"118","E8 Етап 3: Рилска пустиня - Урдини езера","Кюстендил","Кюстендил",,,"20","трудна","европейски маршрут","Преминаване към ледниковите езера в южна Рила","","","","","","","","","","",""
"119","E8 Етап 4: Урдини езера - връх Стобски пирамиди","Кюстендил","Кюстендил",,,"16","трудна","европейски маршрут","Нестандартна геология със стобските пирамиди","","","","","","","","","","",""
"120","E3 Етап 2: Петрохан - Лакатник","Ловеч","Ловеч",,,"22","трудна","европейски маршрут","Продължение по гребена на Стара Планина през хижа Петрохан","","","","","","","","","","",""
"121","E3 Етап 3: Лакатник - Витиня","Ловеч","Ловеч",,,"20","трудна","европейски маршрут","Маршрут през Лакатнишките скали и каньона на р. Лакатник","","","","","","","","","","",""
"127","Екопътека ""През очите на времето - история и природа""","Ловеч","Крушуна",,,"3","лека","линеен","Пешеходен маршрут за наблюдение на флора и фауна, започва от центъра на с. Крушуна, минава през природни и исторически забележителности.","","","","","","","","","","",""
"136","E3 Етап 1: Ком връх - Петрохан","Монтана","Монтана",,,"18","трудна","европейски маршрут","Исторически маршрут Ком-Емине, начало от връх Ком с висок статут по Стара Планина","","","","","","","","","","",""
"149","Екопътека ""Попската скала""","Плевен","Плевен",,,"не е посочена","стръмна","линеен","Маркирана екопътека в сърцето на местността ""Кайлъка"", започва от язовир ""Тотлебенов вал"", стръмна и кратка, открива спираща дъх гледка.","","","","","","","","","","",""
"152","Агушеви конаци","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Агушеви конаци.","","","","","","","","","","",""
"153","Академика","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Академика.","","","","","","","","","","",""
"154","Аладжа манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Аладжа манастир.","","","","","","","","","","",""
"155","Албутински манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Албутински манастир.","","","","","","","","","","",""
"156","Алеко","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Алеко.","","","","","","","","","","",""
"157","Алея на билките","Пловдив","",,,"","лека","кръгов","Екопътека във България, регион Пловдив. Алея на билките.","","","","","","","","","","",""
"158","Али ботуш","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Али ботуш.","","","","","","","","","","",""
"159","Ардинци","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ардинци.","","","","","","","","","","",""
"160","Аркутино","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Аркутино.","","","","","","","","","","",""
"161","Атанасовско езеро","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Атанасовско езеро.","","","","","","","","","","",""
"162","Баба Вида","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Баба Вида.","","","","","","","","","","",""
"163","Бабин пласт","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Бабин пласт.","","","","","","","","","","",""
"164","Бабини Видини кули","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Бабини Видини кули.","","","","","","","","","","",""
"165","Бабско пръскало","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Бабско пръскало.","","","","","","","","","","",""
"166","Байкушевата мура","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Байкушевата мура.","","","","","","","","","","",""
"167","Балчик","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Балчик.","","","","","","","","","","",""
"168","Батак","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Батак.","","","","","","","","","","",""
"169","Беглик таш","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Беглик таш.","","","","","","","","","","",""
"170","Беглика","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Беглика.","","","","","","","","","","",""
"171","Беглика рали","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Беглика рали.","","","","","","","","","","",""
"172","Беклемето","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Беклемето.","","","","","","","","","","",""
"173","Беласица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Беласица.","","","","","","","","","","",""
"174","Бели Искър","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Бели Искър.","","","","","","","","","","",""
"175","Белинташ","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Белинташ.","","","","","","","","","","",""
"176","Белмекен","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Белмекен.","","","","","","","","","","",""
"177","Белоградчишки скали","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Белоградчишки скали.","","","","","","","","","","",""
"178","Биосферен резерват","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Биосферен резерват.","","","","","","","","","","",""
"179","Бистрица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Бистрица.","","","","","","","","","","",""
"180","Бистришко бранище","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Бистришко бранище.","","","","","","","","","","",""
"181","Бодрост","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Бодрост.","","","","","","","","","","",""
"182","Божевски водопад","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Божевски водопад.","","","","","","","","","","",""
"183","Божият мост","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Божият мост.","","","","","","","","","","",""
"184","Болата","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Болата.","","","","","","","","","","",""
"185","Ботев връх","Пловдив","",,,"","трудна","кръгов","Екопътека във България, регион Пловдив. Ботев връх.","","","","","","","","","","",""
"186","Бродилово","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Бродилово.","","","","","","","","","","",""
"187","Бузлуджа","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Бузлуджа.","","","","","","","","","","",""
"188","Буйновско ждрело","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Буйновско ждрело.","","","","","","","","","","",""
"189","Буная","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Буная.","","","","","","","","","","",""
"190","Българи","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Българи.","","","","","","","","","","",""
"191","Бяла река","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Бяла река.","","","","","","","","","","",""
"192","В царството на зелениката","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. В царството на зелениката.","","","","","","","","","","",""
"193","Варовитец","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Варовитец.","","","","","","","","","","",""
"194","Велека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Велека.","","","","","","","","","","",""
"195","Видимско пръскало","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Видимско пръскало.","","","","","","","","","","",""
"196","Вкаменената сватба","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Вкаменената сватба.","","","","","","","","","","",""
"197","Врабча","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Врабча.","","","","","","","","","","",""
"198","Вратцата","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Вратцата.","","","","","","","","","","",""
"199","Врелото","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Врелото.","","","","","","","","","","",""
"200","Вълчи камък","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Вълчи камък.","","","","","","","","","","",""
"201","Геопарк Искър-Панега","Пловдив","",,,"","лека","кръгов","Екопътека във България, регион Пловдив. Геопарк Искър-Панега.","","","","","","","","","","",""
"202","Гложенски манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Гложенски манастир.","","","","","","","","","","",""
"203","Голяма Сюткя","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Голяма Сюткя.","","","","","","","","","","",""
"204","Горица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Горица.","","","","","","","","","","",""
"205","Горна земя","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Горна земя.","","","","","","","","","","",""
"206","Градище","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Градище.","","","","","","","","","","",""
"207","Граматиково","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Граматиково.","","","","","","","","","","",""
"208","Двете реки","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Двете реки.","","","","","","","","","","",""
"209","Деветашка пещера","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Деветашка пещера.","","","","","","","","","","",""
"210","Дерменка","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Дерменка.","","","","","","","","","","",""
"211","Долмените","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Долмените.","","","","","","","","","","",""
"212","Доспат","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Доспат.","","","","","","","","","","",""
"213","Драгоманско блато","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Драгоманско блато.","","","","","","","","","","",""
"214","Дуранкулак","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Дуранкулак.","","","","","","","","","","",""
"215","Дървото на живота","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Дървото на живота.","","","","","","","","","","",""
"216","Дяволски мост","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Дяволски мост.","","","","","","","","","","",""
"217","Дяволското гърло","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Дяволското гърло.","","","","","","","","","","",""
"226","Енина","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Енина.","","","","","","","","","","",""
"227","Етрополски водопад","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Етрополски водопад.","","","","","","","","","","",""
"228","Жеравна","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Жеравна.","","","","","","","","","","",""
"229","Златна Панега","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Златна Панега.","","","","","","","","","","",""
"230","Златни пясъци","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Златни пясъци.","","","","","","","","","","",""
"231","Златните мостове","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Златните мостове.","","","","","","","","","","",""
"232","Златолист","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Златолист.","","","","","","","","","","",""
"233","Ивановски скални църкви","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ивановски скални църкви.","","","","","","","","","","",""
"234","Изворите на Младежка","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Изворите на Младежка.","","","","","","","","","","",""
"235","Изворите на река Въча","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Изворите на река Въча.","","","","","","","","","","",""
"236","Индипаска","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Индипаска.","","","","","","","","","","",""
"237","Искър-Панега","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Искър-Панега.","","","","","","","","","","",""
"238","Кадемлийско пръскало","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кадемлийско пръскало.","","","","","","","","","","",""
"239","Казанджи дере","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Казанджи дере.","","","","","","","","","","",""
"240","Калиакра","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Калиакра.","","","","","","","","","","",""
"241","Каменни гъби","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Каменни гъби.","","","","","","","","","","",""
"242","Камчийски пясъци","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Камчийски пясъци.","","","","","","","","","","",""
"243","Камчия","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Камчия.","","","","","","","","","","",""
"244","Каньона на водопадите","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Каньона на водопадите.","","","","","","","","","","",""
"245","Каньонът на река Герзовица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Каньонът на река Герзовица.","","","","","","","","","","",""
"247","Караджов камък","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Караджов камък.","","","","","","","","","","",""
"248","Карандила","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Карандила.","","","","","","","","","","",""
"249","Картала","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Картала.","","","","","","","","","","",""
"250","Кечика Кая","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кечика Кая.","","","","","","","","","","",""
"251","Кикиш","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кикиш.","","","","","","","","","","",""
"252","Кирилова поляна","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кирилова поляна.","","","","","","","","","","",""
"253","Киселчово","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Киселчово.","","","","","","","","","","",""
"254","Княжевска пътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Княжевска пътека.","","","","","","","","","","",""
"255","Кобилино бранище","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кобилино бранище.","","","","","","","","","","",""
"256","Кожух планина","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кожух планина.","","","","","","","","","","",""
"257","Козя стена","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Козя стена.","","","","","","","","","","",""
"258","Комините","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Комините.","","","","","","","","","","",""
"259","Копитото – Момина скала","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Копитото – Момина скала.","","","","","","","","","","",""
"260","Копрен","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Копрен.","","","","","","","","","","",""
"261","Кости","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кости.","","","","","","","","","","",""
"262","Костина","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Костина.","","","","","","","","","","",""
"263","Котел","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Котел.","","","","","","","","","","",""
"264","Крушунски водопади","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Крушунски водопади.","","","","","","","","","","",""
"265","Кръстова гора","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кръстова гора.","","","","","","","","","","",""
"266","Кървавата скала","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кървавата скала.","","","","","","","","","","",""
"267","Лакатнишки скали","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Лакатнишки скали.","","","","","","","","","","",""
"268","Леденика","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Леденика.","","","","","","","","","","",""
"269","Лешнишки водопад","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Лешнишки водопад.","","","","","","","","","","",""
"270","Лисиците","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Лисиците.","","","","","","","","","","",""
"271","Лозенски манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Лозенски манастир.","","","","","","","","","","",""
"272","Ломски каньон","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ломски каньон.","","","","","","","","","","",""
"273","Лъвската глава","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Лъвската глава.","","","","","","","","","","",""
"274","Мадарски конник","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Мадарски конник.","","","","","","","","","","",""
