"id","name","region","nearest_town","latitude","longitude","length_km","difficulty","route_type","description_existing","enriched_description_bg","short_summary_bg","key_highlights","terrain_and_difficulty","suitable_for","best_season","cautions","nearby_points_of_interest","sources_urls","confidence","reviewer_notes"
"275","Мазалат","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Мазалат.","","","","","","","","","","",""
"276","Малко Търново","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Малко Търново.","","","","","","","","","","",""
"277","Мальовица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Мальовица.","","","","","","","","","","",""
"278","Марциганица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Марциганица.","","","","","","","","","","",""
"279","Маслен нос","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Маслен нос.","","","","","","","","","","",""
"280","Меандри на Арда","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Меандри на Арда.","","","","","","","","","","",""
"281","Меаните","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Меаните.","","","","","","","","","","",""
"282","Медвен","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Медвен.","","","","","","","","","","",""
"283","Мелнишки пирамиди","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Мелнишки пирамиди.","","","","","","","","","","",""
"284","Мечи стъпки","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Мечи стъпки.","","","","","","","","","","",""
"285","Минерални бани","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Минерални бани.","","","","","","","","","","",""
"286","Мишкова нива","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Мишкова нива.","","","","","","","","","","",""
"287","Момчил юнак","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Момчил юнак.","","","","","","","","","","",""
"288","Момчилова крепост","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Момчилова крепост.","","","","","","","","","","",""
"289","Невястата","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Невястата.","","","","","","","","","","",""
"290","Обесен камък","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Обесен камък.","","","","","","","","","","",""
"291","Окопна манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Окопна манастир.","","","","","","","","","","",""
"292","Ореляк","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ореляк.","","","","","","","","","","",""
"293","Орлови скали","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Орлови скали.","","","","","","","","","","",""
"294","Орлово око","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Орлово око.","","","","","","","","","","",""
"295","Парилско седло","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Парилско седло.","","","","","","","","","","",""
"296","Пеещи скали","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Пеещи скали.","","","","","","","","","","",""
"297","Перперикон","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Перперикон.","","","","","","","","","","",""
"298","Петрова нива","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Петрова нива.","","","","","","","","","","",""
"299","Пещера Песнопой","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Пещера Песнопой.","","","","","","","","","","",""
"300","Поглед към девет планини","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Поглед към девет планини.","","","","","","","","","","",""
"301","Пода","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Пода.","","","","","","","","","","",""
"302","Поломие","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Поломие.","","","","","","","","","","",""
"303","Поляната","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Поляната.","","","","","","","","","","",""
"304","Поморие","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Поморие.","","","","","","","","","","",""
"305","Понтийски път","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Понтийски път.","","","","","","","","","","",""
"306","Попови ливади","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Попови ливади.","","","","","","","","","","",""
"307","Правешка екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Правешка екопътека.","","","","","","","","","","",""
"308","Пътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Пътека.","","","","","","","","","","",""
"309","Райското пръскало","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Райското пръскало.","","","","","","","","","","",""
"310","Резово","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Резово.","","","","","","","","","","",""
"311","Рибарица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Рибарица.","","","","","","","","","","",""
"312","Рибни езера","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Рибни езера.","","","","","","","","","","",""
"313","Рилски манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Рилски манастир.","","","","","","","","","","",""
"314","Ритлите","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ритлите.","","","","","","","","","","",""
"315","Роженски манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Роженски манастир.","","","","","","","","","","",""
"316","Ропотамо","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ропотамо.","","","","","","","","","","",""
"317","Рупите","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Рупите.","","","","","","","","","","",""
"318","Русалка","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Русалка.","","","","","","","","","","",""
"319","Самуилова крепост","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Самуилова крепост.","","","","","","","","","","",""
"320","Сандански","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Сандански.","","","","","","","","","","",""
"321","Света Петка","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Света Петка.","","","","","","","","","","",""
"322","Светлина","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Светлина.","","","","","","","","","","",""
"323","Седемте рилски езера","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Седемте рилски езера.","","","","","","","","","","",""
"324","Силистар","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Силистар.","","","","","","","","","","",""
"325","Симеоновски езера","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Симеоновски езера.","","","","","","","","","","",""
"326","Сините камъни","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Сините камъни.","","","","","","","","","","",""
"327","Синия вир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Синия вир.","","","","","","","","","","",""
"328","Скакавица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Скакавица.","","","","","","","","","","",""
"329","Скакля","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Скакля.","","","","","","","","","","",""
"330","Скални манастири","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Скални манастири.","","","","","","","","","","",""
"331","Скални църкви","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Скални църкви.","","","","","","","","","","",""
"332","Славянка","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Славянка.","","","","","","","","","","",""
"333","Соколна","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Соколна.","","","","","","","","","","",""
"334","Соколски манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Соколски манастир.","","","","","","","","","","",""
"335","Стената","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Стената.","","","","","","","","","","",""
"336","Стобски пирамиди","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Стобски пирамиди.","","","","","","","","","","",""
"337","Странджански дъб","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Странджански дъб.","","","","","","","","","","",""
"338","Струилица – Калето – Лъката","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Струилица – Калето – Лъката.","","","","","","","","","","",""
"339","Сухото езеро","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Сухото езеро.","","","","","","","","","","",""
"340","Сърница","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Сърница.","","","","","","","","","","",""
"341","Табашката пещера","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Табашката пещера.","","","","","","","","","","",""
"342","Татул","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Татул.","","","","","","","","","","",""
"343","Торфено бранище","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Торфено бранище.","","","","","","","","","","",""
"344","Трански ждрело","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Трански ждрело.","","","","","","","","","","",""
"345","Триглав","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Триглав.","","","","","","","","","","",""
"346","Триградско ждрело","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Триградско ждрело.","","","","","","","","","","",""
"347","Трите чуки","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Трите чуки.","","","","","","","","","","",""
"348","Тъжа","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Тъжа.","","","","","","","","","","",""
"349","Тъмната гора","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Тъмната гора.","","","","","","","","","","",""
"350","Узунбуджак","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Узунбуджак.","","","","","","","","","","",""
"351","Урдини езера","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Урдини езера.","","","","","","","","","","",""
"352","Хайдушка песен","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Хайдушка песен.","","","","","","","","","","",""
"353","Хайдушка поляна","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Хайдушка поляна.","","","","","","","","","","",""
"354","Хайдушки поляни","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Хайдушки поляни.","","","","","","","","","","",""
"355","Хайдушки чуки","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Хайдушки чуки.","","","","","","","","","","",""
"356","Халката","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Халката.","","","","","","","","","","",""
"357","Царството на зелениката","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Царството на зелениката.","","","","","","","","","","",""
"358","Централен Балкан","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Централен Балкан.","","","","","","","","","","",""
"359","Цигов чарк","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Цигов чарк.","","","","","","","","","","",""
"360","Чаирски езера","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Чаирски езера.","","","","","","","","","","",""
"361","Черепишки манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Черепишки манастир.","","","","","","","","","","",""
"362","Чернелка","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Чернелка.","","","","","","","","","","",""
"363","Черни връх","Пловдив","",,,"","трудна","кръгов","Екопътека във България, регион Пловдив. Черни връх.","","","","","","","","","","",""
"364","Чипровски водопад","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Чипровски водопад.","","","","","","","","","","",""
"365","Чифлик","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Чифлик.","","","","","","","","","","",""
"366","Чудните мостове","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Чудните мостове.","","","","","","","","","","",""
"367","Чуйпетлово","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Чуйпетлово.","","","","","","","","","","",""
"368","Шабла","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Шабла.","","","","","","","","","","",""
"369","Шейтан дере","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Шейтан дере.","","","","","","","","","","",""
"370","Шипка","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Шипка.","","","","","","","","","","",""
"371","Шипково","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Шипково.","","","","","","","","","","",""
"372","Широка поляна","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Широка поляна.","","","","","","","","","","",""
"373","Шуменско плато","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Шуменско плато.","","","","","","","","","","",""
"374","Юмрукчал","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Юмрукчал.","","","","","","","","","","",""
"375","Юндола","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Юндола.","","","","","","","","","","",""
"376","Ябланица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ябланица.","","","","","","","","","","",""
"377","Ябланишко ждрело","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ябланишко ждрело.","","","","","","","","","","",""
"378","Ягодинска пещера","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ягодинска пещера.","","","","","","","","","","",""
"379","Яйлата","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Яйлата.","","","","","","","","","","",""
"380","до Кирилова поляна
259. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. до Кирилова поляна
259. \* Екопътека.","","","","","","","","","","",""
"381","до Муратово езеро
247. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. до Муратово езеро
247. \* Екопътека.","","","","","","","","","","",""
"382","до Стрелча (Минерални извори)
295. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. до Стрелча (Минерални извори)
295. \* Екопътека.","","","","","","","","","","",""
"383","до Тевно езеро
253. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. до Тевно езеро
253. \* Екопътека.","","","","","","","","","","",""
"384","до водопад Женското пръскало
277. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. до водопад Женското пръскало
277. \* Екопътека.","","","","","","","","","","",""
"385","до връх Богдан
293. \* Екопътека","Пловдив","",,,"","трудна","кръгов","Екопътека във България, регион Пловдив. до връх Богдан
293. \* Екопътека.","","","","","","","","","","",""
"386","до връх Вежен
289. \* Екопътека","Пловдив","",,,"","трудна","кръгов","Екопътека във България, регион Пловдив. до връх Вежен
289. \* Екопътека.","","","","","","","","","","",""
"387","до връх Вихрен (класически маршрут)
245. \* Екопътека","Пловдив","",,,"","трудна","кръгов","Екопътека във България, регион Пловдив. до връх Вихрен (класически маршрут)
245. \* Екопътека.","","","","","","","","","","",""
"388","до връх Могила
214. \* Екопътека","Пловдив","",,,"","трудна","кръгов","Екопътека във България, регион Пловдив. до връх Могила
214. \* Екопътека.","","","","","","","","","","",""
"389","до връх Половрак
344. \* Екопътека","Пловдив","",,,"","трудна","кръгов","Екопътека във България, регион Пловдив. до връх Половрак
344. \* Екопътека.","","","","","","","","","","",""
"390","до крепостта","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. до крепостта.","","","","","","","","","","",""
"391","до пещера","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. до пещера.","","","","","","","","","","",""
"392","към в. Свобода
228. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. към в. Свобода
228. \* Екопътека.","","","","","","","","","","",""
"393","към водопад Кадемлийско пръскало
269. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. към водопад Кадемлийско пръскало
269. \* Екопътека.","","","","","","","","","","",""
"394","към х. Безводно
230. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. към х. Безводно
230. \* Екопътека.","","","","","","","","","","",""
"395","към хижа Рай (от Паниците)
283. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. към хижа Рай (от Паниците)
283. \* Екопътека.","","","","","","","","","","",""
"396","към хижа Рибни езера
249. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. към хижа Рибни езера
249. \* Екопътека.","","","","","","","","","","",""
"397","към хижа Синаница
241. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. към хижа Синаница
241. \* Екопътека.","","","","","","","","","","",""
"398","на Дунавските рибари
326. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. на Дунавските рибари
326. \* Екопътека.","","","","","","","","","","",""
"399","на Рилската иглика
237. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. на Рилската иглика
237. \* Екопътека.","","","","","","","","","","",""
"400","на Свободата (Шипка)
279. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. на Свободата (Шипка)
279. \* Екопътека.","","","","","","","","","","",""
"401","на Чучулигите
271. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. на Чучулигите
271. \* Екопътека.","","","","","","","","","","",""
"402","на балканската дива коза
243. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. на балканската дива коза
243. \* Екопътека.","","","","","","","","","","",""
"403","на билките (Бродилово)
302. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. на билките (Бродилово)
302. \* Екопътека.","","","","","","","","","","",""
"404","на здравето","Пловдив","",,,"","лека","кръгов","Екопътека във България, регион Пловдив. на здравето.","","","","","","","","","","",""
"405","на миньора (Росен)
308. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. на миньора (Росен)
308. \* Екопътека.","","","","","","","","","","",""
"406","на партизаните (историческа)
222. \* Екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. на партизаните (историческа)
222. \* Екопътека.","","","","","","","","","","",""
"443","Русенски Лом","Русе","",,,"","умерена","кръгов","Екопътека във България, регион Русе. Русенски Лом.","","","","","","","","","","",""
"454","E8 Етап 9: Чепино - триградско ждрело","Смолян","Смолян",,,"20","умерена","европейски маршрут","Каньон маршрут през роскошната Родопска гора","","","","","","","","","","",""
"455","E8 Этап 10: Триградско ждрело - Смолян","Смолян","Смолян",,,"16","лека","европейски маршрут","Финален спускане към град Смолян, край на E8","","","","","","","","","","",""
"457","Дяволската пътека (Борино)
11. \* Екопътека","Смолян","",,,"","умерена","кръгов","Екопътека във България, регион Смолян. Дяволската пътека (Борино)
11. \* Екопътека.","","","","","","","","","","",""
"465","Екопътека ""Царичина""","Смолян","Царичина",,,"не е посочена","умерена","линеен","Маршрут през село Царичина.","","","","","","","","","","",""
"469","Смолянски езера","Смолян","",,,"","умерена","кръгов","Екопътека във България, регион Смолян. Смолянски езера.","","","","","","","","","","",""
"471","на занаятите (Златоград)
216. \* Екопътека","Смолян","",,,"","умерена","кръгов","Екопътека във България, регион Смолян. на занаятите (Златоград)
216. \* Екопътека.","","","","","","","","","","",""
"472","на здравето (Девин)
203. \* Екопътека","Смолян","",,,"","лека","кръгов","Екопътека във България, регион Смолян. на здравето (Девин)
203. \* Екопътека.","","","","","","","","","","",""
"486","E4 Етап 1: Витоша - Княжево - Жиголово","София","София",,,"16","лека","европейски маршрут","Начало на E4 от Витоша, красивите склонове близо до София","","","","","","","","","","",""
"487","E4 Етап 2: Жиголово - Перелик","София","София",,,"20","умерена","европейски маршрут","Преминаване към Верила планината","","","","","","","","","","",""
"488","E4 Етап 6: Маричини езера - Боровец","София","София",,,"20","трудна","европейски маршрут","Спускане към известния ski resort Боровец","","","","","","","","","","",""
"489","E4 Етап 7: Боровец - връх Мусала","София","София",,,"16","трудна","европейски маршрут","Възход към най-високата вершина в България","","","","","","","","","","",""
"490","E8 Етап 5: Стоб - Пасарел","София","София",,,"24","умерена","европейски маршрут","Спускане към София и прехода между Рила и Верила","","","","","","","","","","",""
"491","E8 Етап 7: Лозен - Костенец","София","София",,,"14","лека","европейски маршрут","Преминаване към термалния град Костенец","","","","","","","","","","",""
"492","E8 Этап 6: Пасарел - връх Лозен","София","София",,,"18","умерена","европейски маршрут","Възход към лозенския монастир и вершину","","","","","","","","","","",""
"493","Боянски водопад","София","",,,"","умерена","кръгов","Екопътека във България, регион София. Боянски водопад.","","","","","","","","","","",""
"494","Боянско езеро","София","",,,"","умерена","кръгов","Екопътека във България, регион София. Боянско езеро.","","","","","","","","","","",""
"495","Драгалевци – Черни връх","София","",,,"","трудна","кръгов","Екопътека във България, регион София. Драгалевци – Черни връх.","","","","","","","","","","",""
"497","Кладница – Селимица","София","",,,"","умерена","кръгов","Екопътека във България, регион София. Кладница – Селимица.","","","","","","","","","","",""
"498","Към Самоков","София","",,,"","умерена","кръгов","Екопътека във България, регион София. Към Самоков.","","","","","","","","","","",""
"500","към езеро Окото (Пирин)
239. \* Екопътека","София","",,,"","умерена","кръгов","Екопътека във България, регион София. към езеро Окото (Пирин)
239. \* Екопътека.","","","","","","","","","","",""
"511","Вазова екопътека (Гара Бов)
3. \* Екопътека","Теменуга","",,,"","умерена","кръгов","Екопътека във България, регион Теменуга. Вазова екопътека (Гара Бов)
3. \* Екопътека.","","","","","","","","","","",""
"521","Екопътека ""Мадарски конник""","Шумен","Мадара",,,"не е посочена","умерена","линеен","Екопътека до уникалния скален релеф ""Мадарски конник"".","","","","","","","","","","",""
